"Date","RFID","Species","Sex","sumvisits","nightlows"
2019-02-24,"011016FD8E","DOWO","M",24,-17.7777777777778
2019-02-25,"011016FD8E","DOWO","M",39,-21.7222222222222
2019-02-26,"011016FD8E","DOWO","M",80,-16.1111111111111
2019-02-27,"011016FD8E","DOWO","M",59,-15.6111111111111
2019-02-28,"011016FD8E","DOWO","M",111,-13.8888888888889
2019-03-01,"011016FD8E","DOWO","M",135,-12.7777777777778
2019-03-02,"011016FD8E","DOWO","M",88,-13.2777777777778
2019-03-03,"011016FD8E","DOWO","M",86,-21.1111111111111
2019-03-04,"011016FD8E","DOWO","M",35,-22.2222222222222
2019-03-05,"011016FD8E","DOWO","M",26,-13.2777777777778
2019-03-06,"011016FD8E","DOWO","M",116,-17.2222222222222
2019-03-07,"011016FD8E","DOWO","M",112,-3.88888888888889
2019-03-08,"011016FD8E","DOWO","M",76,-11.7222222222222
2019-03-09,"011016FD8E","DOWO","M",14,-1.11111111111111
2019-01-26,"011016FE79","WBNU","M",74,-6.72222222222222
2019-01-27,"011016FE79","WBNU","M",57,-6.72222222222222
2019-01-28,"011016FE79","WBNU","M",62,-10.6111111111111
2019-01-29,"011016FE79","WBNU","M",54,-18.8888888888889
2019-01-30,"011016FE79","WBNU","M",60,-22.2222222222222
2019-01-31,"011016FE79","WBNU","M",21,-17.7777777777778
2019-02-01,"011016FE79","WBNU","M",37,-11.7222222222222
2019-02-04,"011016FE79","WBNU","M",25,-12.2222222222222
2019-02-06,"011016FE79","WBNU","M",2,-13.2777777777778
2019-02-11,"011016FE79","WBNU","M",3,-3.27777777777778
2019-02-12,"011016FE79","WBNU","M",28,-8.27777777777778
2019-02-13,"011016FE79","WBNU","M",14,-9.38888888888889
2019-02-14,"011016FE79","WBNU","M",36,-11.7222222222222
2019-02-15,"011016FE79","WBNU","M",58,-13.2777777777778
2019-02-16,"011016FE79","WBNU","M",5,-16.7222222222222
2019-02-18,"011016FE79","WBNU","M",5,-13.2777777777778
2019-02-19,"011016FE79","WBNU","M",27,-16.1111111111111
2019-02-20,"011016FE79","WBNU","M",21,-9.38888888888889
2019-02-21,"011016FE79","WBNU","M",10,-18.8888888888889
2019-02-22,"011016FE79","WBNU","M",4,-6.72222222222222
2019-02-23,"011016FE79","WBNU","M",32,-5
2019-02-24,"011016FE79","WBNU","M",5,-17.7777777777778
2019-02-26,"011016FE79","WBNU","M",34,-16.1111111111111
2019-02-27,"011016FE79","WBNU","M",166,-15.6111111111111
2019-02-28,"011016FE79","WBNU","M",36,-13.8888888888889
2019-03-01,"011016FE79","WBNU","M",2,-12.7777777777778
2019-03-02,"011016FE79","WBNU","M",104,-13.2777777777778
2019-03-03,"011016FE79","WBNU","M",261,-21.1111111111111
2019-03-04,"011016FE79","WBNU","M",298,-22.2222222222222
2019-03-05,"011016FE79","WBNU","M",42,-13.2777777777778
2019-03-06,"011016FE79","WBNU","M",10,-17.2222222222222
2019-03-07,"011016FE79","WBNU","M",36,-3.88888888888889
2019-03-08,"011016FE79","WBNU","M",17,-11.7222222222222
2019-01-30,"01101706AD","WBNU","F",53,-22.2222222222222
2019-02-01,"01101706AD","WBNU","F",11,-11.7222222222222
2019-02-04,"01101706AD","WBNU","F",15,-12.2222222222222
2019-02-12,"01101706AD","WBNU","F",9,-8.27777777777778
2019-02-13,"01101706AD","WBNU","F",9,-9.38888888888889
2019-02-14,"01101706AD","WBNU","F",18,-11.7222222222222
2019-02-15,"01101706AD","WBNU","F",50,-13.2777777777778
2019-02-17,"01101706AD","WBNU","F",52,-10
2019-02-18,"01101706AD","WBNU","F",32,-13.2777777777778
2019-02-19,"01101706AD","WBNU","F",2,-16.1111111111111
2019-02-20,"01101706AD","WBNU","F",5,-9.38888888888889
2019-02-21,"01101706AD","WBNU","F",44,-18.8888888888889
2019-02-22,"01101706AD","WBNU","F",75,-6.72222222222222
2019-02-23,"01101706AD","WBNU","F",33,-5
2019-02-24,"01101706AD","WBNU","F",29,-17.7777777777778
2019-02-26,"01101706AD","WBNU","F",75,-16.1111111111111
2019-02-27,"01101706AD","WBNU","F",29,-15.6111111111111
2019-02-28,"01101706AD","WBNU","F",82,-13.8888888888889
2019-03-01,"01101706AD","WBNU","F",58,-12.7777777777778
2019-03-02,"01101706AD","WBNU","F",39,-13.2777777777778
2019-03-03,"01101706AD","WBNU","F",22,-21.1111111111111
2019-03-04,"01101706AD","WBNU","F",22,-22.2222222222222
2019-03-05,"01101706AD","WBNU","F",48,-13.2777777777778
2019-03-06,"01101706AD","WBNU","F",28,-17.2222222222222
2019-03-07,"01101706AD","WBNU","F",106,-3.88888888888889
2019-03-08,"01101706AD","WBNU","F",41,-11.7222222222222
2019-01-26,"0110170BCF","DOWO","F",36,-6.72222222222222
2019-01-27,"0110170BCF","DOWO","F",113,-6.72222222222222
2019-01-28,"0110170BCF","DOWO","F",109,-10.6111111111111
2019-01-29,"0110170BCF","DOWO","F",160,-18.8888888888889
2019-01-30,"0110170BCF","DOWO","F",161,-22.2222222222222
2019-01-31,"0110170BCF","DOWO","F",128,-17.7777777777778
2019-02-01,"0110170BCF","DOWO","F",56,-11.7222222222222
2019-02-04,"0110170BCF","DOWO","F",55,-12.2222222222222
2019-02-05,"0110170BCF","DOWO","F",63,-13.2777777777778
2019-02-06,"0110170BCF","DOWO","F",113,-13.2777777777778
2019-02-07,"0110170BCF","DOWO","F",31,-15.6111111111111
2019-02-09,"0110170BCF","DOWO","F",114,-12.2222222222222
2019-02-10,"0110170BCF","DOWO","F",150,-3.27777777777778
2019-02-11,"0110170BCF","DOWO","F",99,-3.27777777777778
2019-02-12,"0110170BCF","DOWO","F",73,-8.27777777777778
2019-02-13,"0110170BCF","DOWO","F",116,-9.38888888888889
2019-02-14,"0110170BCF","DOWO","F",73,-11.7222222222222
2019-02-15,"0110170BCF","DOWO","F",163,-13.2777777777778
2019-02-16,"0110170BCF","DOWO","F",123,-16.7222222222222
2019-02-17,"0110170BCF","DOWO","F",123,-10
2019-02-18,"0110170BCF","DOWO","F",153,-13.2777777777778
2019-02-19,"0110170BCF","DOWO","F",140,-16.1111111111111
2019-02-20,"0110170BCF","DOWO","F",143,-9.38888888888889
2019-02-21,"0110170BCF","DOWO","F",66,-18.8888888888889
2019-02-22,"0110170BCF","DOWO","F",128,-6.72222222222222
2019-02-23,"0110170BCF","DOWO","F",124,-5
2019-02-24,"0110170BCF","DOWO","F",22,-17.7777777777778
2019-02-25,"0110170BCF","DOWO","F",105,-21.7222222222222
2019-02-26,"0110170BCF","DOWO","F",91,-16.1111111111111
2019-02-27,"0110170BCF","DOWO","F",162,-15.6111111111111
2019-02-28,"0110170BCF","DOWO","F",96,-13.8888888888889
2019-03-01,"0110170BCF","DOWO","F",80,-12.7777777777778
2019-03-02,"0110170BCF","DOWO","F",171,-13.2777777777778
2019-03-03,"0110170BCF","DOWO","F",157,-21.1111111111111
2019-03-04,"0110170BCF","DOWO","F",134,-22.2222222222222
2019-03-05,"0110170BCF","DOWO","F",93,-13.2777777777778
2019-03-06,"0110170BCF","DOWO","F",73,-17.2222222222222
2019-03-07,"0110170BCF","DOWO","F",17,-3.88888888888889
2019-03-08,"0110170BCF","DOWO","F",27,-11.7222222222222
2019-03-09,"0110170BCF","DOWO","F",7,-1.11111111111111
2019-01-26,"0110170F15","DOWO","M",58,-6.72222222222222
2019-01-27,"0110170F15","DOWO","M",93,-6.72222222222222
2019-01-28,"0110170F15","DOWO","M",56,-10.6111111111111
2019-01-29,"0110170F15","DOWO","M",76,-18.8888888888889
2019-01-30,"0110170F15","DOWO","M",177,-22.2222222222222
2019-01-31,"0110170F15","DOWO","M",49,-17.7777777777778
2019-02-01,"0110170F15","DOWO","M",25,-11.7222222222222
2019-02-04,"0110170F15","DOWO","M",74,-12.2222222222222
2019-02-05,"0110170F15","DOWO","M",97,-13.2777777777778
2019-02-06,"0110170F15","DOWO","M",123,-13.2777777777778
2019-02-07,"0110170F15","DOWO","M",89,-15.6111111111111
2019-02-09,"0110170F15","DOWO","M",64,-12.2222222222222
2019-02-10,"0110170F15","DOWO","M",169,-3.27777777777778
2019-02-11,"0110170F15","DOWO","M",104,-3.27777777777778
2019-02-12,"0110170F15","DOWO","M",77,-8.27777777777778
2019-02-13,"0110170F15","DOWO","M",65,-9.38888888888889
2019-02-14,"0110170F15","DOWO","M",21,-11.7222222222222
2019-02-15,"0110170F15","DOWO","M",109,-13.2777777777778
2019-02-16,"0110170F15","DOWO","M",70,-16.7222222222222
2019-02-17,"0110170F15","DOWO","M",86,-10
2019-02-18,"0110170F15","DOWO","M",48,-13.2777777777778
2019-02-19,"0110170F15","DOWO","M",39,-16.1111111111111
2019-02-20,"0110170F15","DOWO","M",54,-9.38888888888889
2019-02-21,"0110170F15","DOWO","M",119,-18.8888888888889
2019-02-22,"0110170F15","DOWO","M",68,-6.72222222222222
2019-02-23,"0110170F15","DOWO","M",100,-5
2019-02-24,"0110170F15","DOWO","M",61,-17.7777777777778
2019-02-25,"0110170F15","DOWO","M",84,-21.7222222222222
2019-02-26,"0110170F15","DOWO","M",85,-16.1111111111111
2019-02-27,"0110170F15","DOWO","M",109,-15.6111111111111
2019-02-28,"0110170F15","DOWO","M",77,-13.8888888888889
2019-03-01,"0110170F15","DOWO","M",92,-12.7777777777778
2019-03-02,"0110170F15","DOWO","M",101,-13.2777777777778
2019-03-03,"0110170F15","DOWO","M",77,-21.1111111111111
2019-03-04,"0110170F15","DOWO","M",88,-22.2222222222222
2019-03-05,"0110170F15","DOWO","M",78,-13.2777777777778
2019-03-06,"0110170F15","DOWO","M",89,-17.2222222222222
2019-03-07,"0110170F15","DOWO","M",68,-3.88888888888889
2019-03-08,"0110170F15","DOWO","M",68,-11.7222222222222
2019-03-09,"0110170F15","DOWO","M",11,-1.11111111111111
2019-01-26,"011017171D","DOWO","M",77,-6.72222222222222
2019-01-27,"011017171D","DOWO","M",81,-6.72222222222222
2019-01-28,"011017171D","DOWO","M",59,-10.6111111111111
2019-01-29,"011017171D","DOWO","M",127,-18.8888888888889
2019-01-30,"011017171D","DOWO","M",153,-22.2222222222222
2019-01-31,"011017171D","DOWO","M",164,-17.7777777777778
2019-02-01,"011017171D","DOWO","M",122,-11.7222222222222
2019-02-02,"011017171D","DOWO","M",39,1.11111111111111
2019-02-03,"011017171D","DOWO","M",13,-1.11111111111111
2019-02-04,"011017171D","DOWO","M",29,-12.2222222222222
2019-02-05,"011017171D","DOWO","M",17,-13.2777777777778
2019-02-06,"011017171D","DOWO","M",52,-13.2777777777778
2019-02-07,"011017171D","DOWO","M",62,-15.6111111111111
2019-02-09,"011017171D","DOWO","M",90,-12.2222222222222
2019-02-10,"011017171D","DOWO","M",133,-3.27777777777778
2019-02-11,"011017171D","DOWO","M",52,-3.27777777777778
2019-02-12,"011017171D","DOWO","M",28,-8.27777777777778
2019-02-13,"011017171D","DOWO","M",121,-9.38888888888889
2019-02-14,"011017171D","DOWO","M",82,-11.7222222222222
2019-02-15,"011017171D","DOWO","M",72,-13.2777777777778
2019-02-16,"011017171D","DOWO","M",90,-16.7222222222222
2019-02-17,"011017171D","DOWO","M",123,-10
2019-02-18,"011017171D","DOWO","M",119,-13.2777777777778
2019-02-19,"011017171D","DOWO","M",138,-16.1111111111111
2019-02-20,"011017171D","DOWO","M",99,-9.38888888888889
2019-02-21,"011017171D","DOWO","M",36,-18.8888888888889
2019-02-22,"011017171D","DOWO","M",51,-6.72222222222222
2019-02-23,"011017171D","DOWO","M",22,-5
2019-02-24,"011017171D","DOWO","M",66,-17.7777777777778
2019-02-25,"011017171D","DOWO","M",153,-21.7222222222222
2019-02-26,"011017171D","DOWO","M",182,-16.1111111111111
2019-02-27,"011017171D","DOWO","M",179,-15.6111111111111
2019-02-28,"011017171D","DOWO","M",58,-13.8888888888889
2019-03-01,"011017171D","DOWO","M",67,-12.7777777777778
2019-03-02,"011017171D","DOWO","M",107,-13.2777777777778
2019-03-03,"011017171D","DOWO","M",150,-21.1111111111111
2019-03-04,"011017171D","DOWO","M",57,-22.2222222222222
2019-03-05,"011017171D","DOWO","M",13,-13.2777777777778
2019-03-06,"011017171D","DOWO","M",38,-17.2222222222222
2019-03-07,"011017171D","DOWO","M",13,-3.88888888888889
2019-01-26,"0110172D57","DOWO","F",40,-6.72222222222222
2019-01-27,"0110172D57","DOWO","F",155,-6.72222222222222
2019-01-28,"0110172D57","DOWO","F",30,-10.6111111111111
2019-01-29,"0110172D57","DOWO","F",64,-18.8888888888889
2019-01-30,"0110172D57","DOWO","F",124,-22.2222222222222
2019-01-31,"0110172D57","DOWO","F",73,-17.7777777777778
2019-02-01,"0110172D57","DOWO","F",60,-11.7222222222222
2019-02-02,"0110172D57","DOWO","F",9,1.11111111111111
2019-02-04,"0110172D57","DOWO","F",9,-12.2222222222222
2019-02-05,"0110172D57","DOWO","F",60,-13.2777777777778
2019-02-06,"0110172D57","DOWO","F",142,-13.2777777777778
2019-02-07,"0110172D57","DOWO","F",10,-15.6111111111111
2019-02-09,"0110172D57","DOWO","F",44,-12.2222222222222
2019-02-10,"0110172D57","DOWO","F",127,-3.27777777777778
2019-02-11,"0110172D57","DOWO","F",85,-3.27777777777778
2019-02-12,"0110172D57","DOWO","F",61,-8.27777777777778
2019-02-13,"0110172D57","DOWO","F",55,-9.38888888888889
2019-02-14,"0110172D57","DOWO","F",21,-11.7222222222222
2019-02-15,"0110172D57","DOWO","F",107,-13.2777777777778
2019-02-16,"0110172D57","DOWO","F",66,-16.7222222222222
2019-02-17,"0110172D57","DOWO","F",187,-10
2019-02-18,"0110172D57","DOWO","F",46,-13.2777777777778
2019-02-19,"0110172D57","DOWO","F",39,-16.1111111111111
2019-02-20,"0110172D57","DOWO","F",3,-9.38888888888889
2019-02-21,"0110172D57","DOWO","F",43,-18.8888888888889
2019-02-22,"0110172D57","DOWO","F",120,-6.72222222222222
2019-02-23,"0110172D57","DOWO","F",232,-5
2019-02-24,"0110172D57","DOWO","F",48,-17.7777777777778
2019-02-25,"0110172D57","DOWO","F",95,-21.7222222222222
2019-02-26,"0110172D57","DOWO","F",203,-16.1111111111111
2019-02-27,"0110172D57","DOWO","F",159,-15.6111111111111
2019-02-28,"0110172D57","DOWO","F",86,-13.8888888888889
2019-03-01,"0110172D57","DOWO","F",25,-12.7777777777778
2019-03-02,"0110172D57","DOWO","F",119,-13.2777777777778
2019-03-03,"0110172D57","DOWO","F",175,-21.1111111111111
2019-03-04,"0110172D57","DOWO","F",215,-22.2222222222222
2019-03-05,"0110172D57","DOWO","F",28,-13.2777777777778
2019-03-06,"0110172D57","DOWO","F",19,-17.2222222222222
2019-03-07,"0110172D57","DOWO","F",53,-3.88888888888889
2019-03-08,"0110172D57","DOWO","F",63,-11.7222222222222
2019-01-26,"01101736BA","WBNU","M",93,-6.72222222222222
2019-01-27,"01101736BA","WBNU","M",122,-6.72222222222222
2019-01-28,"01101736BA","WBNU","M",120,-10.6111111111111
2019-01-29,"01101736BA","WBNU","M",112,-18.8888888888889
2019-01-30,"01101736BA","WBNU","M",114,-22.2222222222222
2019-01-31,"01101736BA","WBNU","M",67,-17.7777777777778
2019-02-01,"01101736BA","WBNU","M",65,-11.7222222222222
2019-02-04,"01101736BA","WBNU","M",93,-12.2222222222222
2019-02-05,"01101736BA","WBNU","M",49,-13.2777777777778
2019-02-06,"01101736BA","WBNU","M",110,-13.2777777777778
2019-02-07,"01101736BA","WBNU","M",94,-15.6111111111111
2019-02-09,"01101736BA","WBNU","M",105,-12.2222222222222
2019-02-10,"01101736BA","WBNU","M",110,-3.27777777777778
2019-02-11,"01101736BA","WBNU","M",99,-3.27777777777778
2019-02-12,"01101736BA","WBNU","M",160,-8.27777777777778
2019-02-13,"01101736BA","WBNU","M",151,-9.38888888888889
2019-02-14,"01101736BA","WBNU","M",101,-11.7222222222222
2019-02-15,"01101736BA","WBNU","M",105,-13.2777777777778
2019-02-16,"01101736BA","WBNU","M",95,-16.7222222222222
2019-02-17,"01101736BA","WBNU","M",102,-10
2019-02-18,"01101736BA","WBNU","M",126,-13.2777777777778
2019-02-19,"01101736BA","WBNU","M",108,-16.1111111111111
2019-02-20,"01101736BA","WBNU","M",97,-9.38888888888889
2019-02-21,"01101736BA","WBNU","M",76,-18.8888888888889
2019-02-22,"01101736BA","WBNU","M",104,-6.72222222222222
2019-02-23,"01101736BA","WBNU","M",70,-5
2019-02-24,"01101736BA","WBNU","M",79,-17.7777777777778
2019-02-25,"01101736BA","WBNU","M",71,-21.7222222222222
2019-02-26,"01101736BA","WBNU","M",143,-16.1111111111111
2019-02-27,"01101736BA","WBNU","M",56,-15.6111111111111
2019-02-28,"01101736BA","WBNU","M",90,-13.8888888888889
2019-03-01,"01101736BA","WBNU","M",119,-12.7777777777778
2019-03-02,"01101736BA","WBNU","M",93,-13.2777777777778
2019-03-03,"01101736BA","WBNU","M",123,-21.1111111111111
2019-03-04,"01101736BA","WBNU","M",117,-22.2222222222222
2019-03-05,"01101736BA","WBNU","M",68,-13.2777777777778
2019-03-06,"01101736BA","WBNU","M",68,-17.2222222222222
2019-03-07,"01101736BA","WBNU","M",50,-3.88888888888889
2019-03-08,"01101736BA","WBNU","M",10,-11.7222222222222
2019-01-27,"011017396E","DOWO","M",16,-6.72222222222222
2019-01-29,"011017396E","DOWO","M",8,-18.8888888888889
2019-01-30,"011017396E","DOWO","M",29,-22.2222222222222
2019-01-31,"011017396E","DOWO","M",1,-17.7777777777778
2019-02-15,"011017396E","DOWO","M",4,-13.2777777777778
2019-02-23,"011017396E","DOWO","M",11,-5
2019-03-01,"011017396E","DOWO","M",59,-12.7777777777778
2019-03-06,"011017396E","DOWO","M",5,-17.2222222222222
2019-01-27,"0110173C26","WBNU","M",1,-6.72222222222222
2019-01-31,"0110173C26","WBNU","M",18,-17.7777777777778
2019-02-01,"0110173C26","WBNU","M",15,-11.7222222222222
2019-02-05,"0110173C26","WBNU","M",3,-13.2777777777778
2019-02-15,"0110173C26","WBNU","M",1,-13.2777777777778
2019-02-17,"0110173C26","WBNU","M",7,-10
2019-02-18,"0110173C26","WBNU","M",19,-13.2777777777778
2019-02-19,"0110173C26","WBNU","M",4,-16.1111111111111
2019-02-20,"0110173C26","WBNU","M",18,-9.38888888888889
2019-02-21,"0110173C26","WBNU","M",2,-18.8888888888889
2019-02-22,"0110173C26","WBNU","M",16,-6.72222222222222
2019-02-23,"0110173C26","WBNU","M",4,-5
2019-02-26,"0110173C26","WBNU","M",58,-16.1111111111111
2019-02-27,"0110173C26","WBNU","M",29,-15.6111111111111
2019-02-28,"0110173C26","WBNU","M",1,-13.8888888888889
2019-03-03,"0110173C26","WBNU","M",19,-21.1111111111111
2019-03-05,"0110173C26","WBNU","M",19,-13.2777777777778
2019-03-06,"0110173C26","WBNU","M",7,-17.2222222222222
2019-03-07,"0110173C26","WBNU","M",4,-3.88888888888889
2019-03-08,"0110173C26","WBNU","M",16,-11.7222222222222
2019-01-26,"0110173E3A","DOWO","M",34,-6.72222222222222
2019-01-27,"0110173E3A","DOWO","M",103,-6.72222222222222
2019-01-28,"0110173E3A","DOWO","M",15,-10.6111111111111
2019-01-29,"0110173E3A","DOWO","M",91,-18.8888888888889
2019-01-30,"0110173E3A","DOWO","M",181,-22.2222222222222
2019-01-31,"0110173E3A","DOWO","M",18,-17.7777777777778
2019-02-01,"0110173E3A","DOWO","M",8,-11.7222222222222
2019-02-04,"0110173E3A","DOWO","M",10,-12.2222222222222
2019-02-05,"0110173E3A","DOWO","M",80,-13.2777777777778
2019-02-06,"0110173E3A","DOWO","M",75,-13.2777777777778
2019-02-07,"0110173E3A","DOWO","M",31,-15.6111111111111
2019-02-09,"0110173E3A","DOWO","M",20,-12.2222222222222
2019-02-10,"0110173E3A","DOWO","M",96,-3.27777777777778
2019-02-11,"0110173E3A","DOWO","M",103,-3.27777777777778
2019-02-12,"0110173E3A","DOWO","M",80,-8.27777777777778
2019-02-13,"0110173E3A","DOWO","M",40,-9.38888888888889
2019-02-14,"0110173E3A","DOWO","M",22,-11.7222222222222
2019-02-15,"0110173E3A","DOWO","M",78,-13.2777777777778
2019-02-16,"0110173E3A","DOWO","M",57,-16.7222222222222
2019-02-17,"0110173E3A","DOWO","M",37,-10
2019-02-18,"0110173E3A","DOWO","M",23,-13.2777777777778
2019-02-19,"0110173E3A","DOWO","M",50,-16.1111111111111
2019-02-20,"0110173E3A","DOWO","M",56,-9.38888888888889
2019-02-21,"0110173E3A","DOWO","M",65,-18.8888888888889
2019-02-22,"0110173E3A","DOWO","M",32,-6.72222222222222
2019-02-23,"0110173E3A","DOWO","M",64,-5
2019-02-24,"0110173E3A","DOWO","M",85,-17.7777777777778
2019-02-25,"0110173E3A","DOWO","M",54,-21.7222222222222
2019-02-26,"0110173E3A","DOWO","M",63,-16.1111111111111
2019-02-27,"0110173E3A","DOWO","M",58,-15.6111111111111
2019-02-28,"0110173E3A","DOWO","M",31,-13.8888888888889
2019-03-01,"0110173E3A","DOWO","M",25,-12.7777777777778
2019-03-02,"0110173E3A","DOWO","M",32,-13.2777777777778
2019-03-03,"0110173E3A","DOWO","M",58,-21.1111111111111
2019-03-04,"0110173E3A","DOWO","M",33,-22.2222222222222
2019-03-05,"0110173E3A","DOWO","M",26,-13.2777777777778
2019-03-06,"0110173E3A","DOWO","M",19,-17.2222222222222
2019-03-07,"0110173E3A","DOWO","M",37,-3.88888888888889
2019-03-08,"0110173E3A","DOWO","M",4,-11.7222222222222
2019-01-26,"0110173FFA","DOWO","M",34,-6.72222222222222
2019-01-27,"0110173FFA","DOWO","M",144,-6.72222222222222
2019-01-28,"0110173FFA","DOWO","M",72,-10.6111111111111
2019-01-29,"0110173FFA","DOWO","M",101,-18.8888888888889
2019-01-30,"0110173FFA","DOWO","M",97,-22.2222222222222
2019-01-31,"0110173FFA","DOWO","M",85,-17.7777777777778
2019-02-01,"0110173FFA","DOWO","M",62,-11.7222222222222
2019-02-04,"0110173FFA","DOWO","M",65,-12.2222222222222
2019-02-05,"0110173FFA","DOWO","M",104,-13.2777777777778
