Date,Time,Location,Band_Prefix,Band_Suffix,Band_Number,Species,Recap,Age,How_Aged,Sex,How_Sexed,Wing,Bird_and_bag,Bag,Weight,Tarsus,Culmen,RFID,Notes,Add_cap_date,Add_cap_time,Add_cap_date_2
11/4/18,NA,Pioneers Park Nature Center,2621,50284,2621-50284,SCJU,Y,NA,NA,NA,NA,88,19.5,0,19.5,21,9.1,011016D647,,3/10/18,9:23,NA
11/6/16,8:33,Bird Garden,2621,50202,2621-50202,WBNU,Yes,,NA,M,NA,89,20.5,0,20.5,18.8,17.7,01101759A2,,NA,NA,NA
11/6/16,10:45,Bird Garden,1901,59037,1901-59037,WBNU,Yes,,NA,F,NA,89,19.7,0,19.7,18.8,15.5,011017547B,,NA,NA,NA
9/30/17,10:00,Pioneers Park Nature Center,2621,50221,2621-50221,WBNU,Y,AHY,RECAP,F,PLUMAGE,95,43,23,20,18,17.8,0110175F3E,RFID tag number needs to be checked,11/6/16,8:33,NA
10/15/17,10:45,Pioneers Park Nature Center,1901,59306,1901-59306,WBNU,N,AHY,PLUMAGE,F,PLUMAGE,92,44.5,24.1,20.4,18.7,16.1,0700EE3743,,NA,NA,NA
11/4/17,10:19,Pioneers Park Nature Center,2621,50250,2621-50250,WBNU,N,AHY,PLUMAGE,M,PLUMAGE,86,46,24,22,18.6,16.5,0700EDD501,2.25 TW,5/5/18,NA,NA
11/4/17,11:02,Pioneers Park Nature Center,1901,59309,1901-59309,WBNU,N,HY,PLUMAGE,F,PLUMAGE,89,43,24,19,17.7,13.8,0700EE257D,,NA,NA,NA
3/3/18,10:53,Pioneers Park Nature Center,1901,59312,1901-59312,WBNU,N,ASY,NA,M,NA,89,45,26,19,17,15.4,0700EE315A,,NA,NA,NA
3/10/18,NA,Pioneers Park Nature Center,1901,59313,1901-59313,WBNU,N,U,NA,U,NA,87,43,24,19,17,15.8,0700EE3187,,10/6/18,NA,NA
10/6/18,NA,Pioneers Park Nature Center,1901,59323,1901-59323,WBNU,N,AHY,NA,M,NA,91,45,27,18,18.3,16.1,110171671,,NA,NA,NA
10/6/18,NA,Pioneers Park Nature Center,1901,59326,1901-59326,WBNU,N,AHY,NA,M,NA,90,21.5,0,21.5,19.8,17.1,011016B9B5,,11/23/18,NA,NA
10/6/18,NA,Pioneers Park Nature Center,1901,59325,1901-59325,WBNU,N,HY,NA,F,NA,90,44,NA,44,17.1,16.2,0110174B57,,NA,NA,NA
10/27/18,9:42,Pioneers Park Nature Center,1901,59325,1901-59325,WBNU,N,U,NA,F,NA,92,45,24,21,17.6,16.4,01101747D3,,NA,NA,NA
10/27/18,11:08,Pioneers Park Nature Center,2781,71207,2781-71207,WBNU,N,U,NA,M,NA,89,44,23,21,20.6,17.4,011016FE79,,11/4/18,NA,NA
11/4/18,NA,Pioneers Park Nature Center,1901,59332,1901-59332,WBNU,N,U,NA,F,NA,85,42,22,20,17.6,17.5,01101706AD,,11/23/18,NA,NA
11/23/18,NA,Pioneers Park Nature Center,2781,71214,2781-71214,WBNU,N,HY,NA,F,NA,92,46,23,23,18.5,16.1,011016BF63,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,2781,71211,2781-71211,WBNU,N,U,NA,M,NA,91,45,24,21,18.9,17,0110173C26,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,1901,59024,1901-59024,WBNU,Y,U,NA,M,NA,95,44,23,21,17.7,16.2,01101736BA,,NA,NA,NA
