"","011016AC95","011016B1E9","011016B914","011016B9B5","011016BC8D","011016BDEC","011016BF63","011016CC59","011016CE84","011016D383","011016E2E6","011016EDC4","011016FD8E","011016FE79","01101706AD","0110170897","0110170BCF","0110170F15","01101712F8","0110171671","011017171D","0110172507","0110172D57","0110173043","0110173577","01101736BA","011017396E","0110173C26","0110173E3A","0110173FFA","01101747D3","01101748C7","0110174B57","0110175F3E","01103F6EC0","0700EDA0C9","0700EDE823","0700EDFFDB","0700EE08C5","0700EE1540","0700EE1ECE","0700EE257D","0700EE27B1","0700EE315A","0700EE3187"
"0110170897",0.638485384938727,0.715483234714004,0.694553450763387,0.704628892977309,0.715483234714004,0.684570999521613,0.665366222992521,0.873647531678799,0.550831319276606,0.756096609492423,0.714670667000028,0.932819529056266,0.544123129840766,0.668269500515755,0.598827593810871,NA,0.645418683880222,0.516435729897268,0.672166403030836,0.677399219187754,0.64370417715458,0.639882553344092,0.664599182868414,0.715483234714004,0.684340288591301,0.603181813892156,0.613525230111769,0.558613150828165,0.553432610881491,0.693570884116394,0.859406875176106,0.682085497333595,0.859120638525433,0.715483234714004,0.716705039225282,0.783201437330893,0.698690010414939,0.662914741563319,0.718082478570337,0.600306238970207,0.591747042742093,0.576010032613903,0.566885992678816,0.968776238802023,0.717335893824728
"0110170BCF",0.878000528615283,0.673368298368298,0.694298082318916,0.689855895738249,0.673368298368298,0.648089318809163,0.751699800326803,0.544246071674129,0.618064173697976,0.70441083178425,0.67981412171553,0.579161858256686,0.762191568594008,0.588148995424707,0.716774167861124,0.645418683880222,NA,0.767690717690718,0.635684722318386,0.762956836150752,0.588599936317085,0.684343434343434,0.674954212454213,0.679001554001554,0.727605179907811,0.683510667960429,0.715945512820513,0.544987642879209,0.756018067726928,0.945280648965908,0.592577422577423,0.703153819690545,0.59319648954332,0.673368298368298,0.674590102879577,0.67730600394578,0.69579477830062,0.677117992357718,0.672186823888147,0.638343725418029,0.702137116681352,0.691747267841488,0.70584493569515,0.675990675990676,0.675220957479022
"0110170F15",0.789340306348503,0.547007722007722,0.567937505958339,0.557862063744417,0.547007722007722,0.516095486815331,0.837555993391234,0.415263117691175,0.595374046078271,0.57014747568545,0.547820289721698,0.449255258953535,0.855765287777483,0.447621300575349,0.775095126182083,0.516435729897268,0.767690717690718,NA,0.503690890324554,0.826911050104966,0.512799571763937,0.748297648297648,0.471313483813484,0.547007722007722,0.590203549414076,0.67136202411322,0.848893983268983,0.410537516862818,0.962480617227453,0.730310033995293,0.454511434511434,0.587686613866343,0.455130501477332,0.547007722007722,0.548229526519,0.548013059158271,0.563800946306787,0.545124160363886,0.54488106794345,0.610843384295397,0.638560870330307,0.698533805391473,0.938154218004432,0.547007722007722,0.548860381118446
"01101712F8",0.592612130065466,0.793316831683168,0.772387047732551,0.945828826580137,0.793316831683168,0.987595403509222,0.652621383419806,0.613607628748486,0.472997722307442,0.677411016418098,0.955870600602856,0.633869128907965,0.586533500911067,0.679531273696297,0.668575630855011,0.672166403030836,0.635684722318386,0.503690890324554,NA,0.601645145503143,0.629103361338361,0.570319531953195,0.517809541943205,0.956683168316832,0.669637428968461,0.590436974319442,0.600780390539054,0.594521650960277,0.540687771308776,0.684770817719222,0.606078772712436,0.530185425190036,0.606257698833264,0.793316831683168,0.79209502717189,0.699580397359273,0.939889944017766,0.958566729960667,0.790717587826836,0.527890598657389,0.68507286385475,0.563265193041189,0.55701602613899,0.701655235355938,0.791464172572445
"0110171671",0.873508843791833,0.644961977186312,0.636968311388067,0.655816318923006,0.644961977186312,0.614049741993921,0.711381176532006,0.576226606981661,0.66363580723887,0.726226717042884,0.645774544900288,0.61021874824402,0.745327014865872,0.619488088601833,0.891055388926938,0.677399219187754,0.762956836150752,0.826911050104966,0.601645145503143,NA,0.550510227124715,0.882098414893092,0.597488300672711,0.644961977186312,0.645833035535607,0.590667357911795,0.734844627014304,0.556827254700497,0.862152533176983,0.781350156138077,0.627600384406468,0.707478484980665,0.628219451372366,0.644961977186312,0.64618378169759,0.709286539253311,0.661755201485377,0.623244049169228,0.644057484990589,0.600021147142067,0.615437320607608,0.60020581701319,0.811979401145204,0.651212072015755,0.646814636297035
"011017171D",0.497106502610537,0.558834446919079,0.579764230869697,0.674584198935699,0.558834446919079,0.641507957829138,0.656342639546479,0.545129931689392,0.754771427376434,0.629614685235826,0.6706343939946,0.580045718271949,0.627272130561962,0.58500229052648,0.47973066441644,0.64370417715458,0.588599936317085,0.512799571763937,0.629103361338361,0.550510227124715,NA,0.662220759937909,0.50941948734265,0.669821826280623,0.841770001283833,0.841437547650717,0.65039207498144,0.625092798812175,0.550318954536484,0.543468496265327,0.599386059374924,0.636800185765172,0.599672296025597,0.558834446919079,0.560056251430358,0.62588525054182,0.663749900262959,0.65575543317977,0.562378870359533,0.841437571394752,0.625884201014667,0.814265766372464,0.559086499612919,0.617409471907363,0.560687106029803
"0110172507",0.761798310978639,0.613636363636364,0.634566147586981,0.624490705373058,0.613636363636364,0.582724128443973,0.713152693987934,0.538709941137999,0.776568501920615,0.698874701248119,0.61444893135034,0.572702082400358,0.685837028824834,0.631614282872488,0.801971579145492,0.639882553344092,0.684343434343434,0.748297648297648,0.570319531953195,0.882098414893092,0.662220759937909,NA,0.496441058941059,0.613636363636364,0.763734620642515,0.708568943018704,0.764993686868687,0.640334063526835,0.785817031070196,0.669639623324882,0.595564435564436,0.713736151005334,0.595850672215109,0.613636363636364,0.614858168147642,0.671769873409649,0.630429587935429,0.611752801992528,0.611509709572091,0.712953841823811,0.618988138760257,0.718107402120098,0.79458457614663,0.618664296597257,0.615489022747087
"0110172D57",0.680152975439861,0.430631868131868,0.422093974698141,0.557603425985779,0.430631868131868,0.530214138433983,0.455322566449569,0.684052098980157,0.510389903523706,0.606708165252469,0.547653227054635,0.718105816597196,0.561308813138081,0.53411552889124,0.524360965121835,0.664599182868414,0.674954212454213,0.471313483813484,0.517809541943205,0.597488300672711,0.50941948734265,0.496441058941059,NA,0.546840659340659,0.433527327935223,0.378361650311411,0.439465048840049,0.584696478220575,0.459640833849695,0.688258504443763,0.688379120879121,0.678068930454035,0.688200194758293,0.430631868131868,0.431853672643146,0.594877496232284,0.563633883639725,0.538864217973807,0.434176291572322,0.454411339434559,0.424907074605466,0.387900109412806,0.409467701817916,0.635762119630835,0.432484527242592
"0110173043",0.635928961748634,0.75,0.729070216049383,0.989145658263305,0.75,0.969087764807609,0.695938215102975,0.618255395683453,0.51631455399061,0.720727848101266,0.999187432286024,0.65317118226601,0.61100332594235,0.636214442013129,0.625258799171843,0.715483234714004,0.679001554001554,0.547007722007722,0.956683168316832,0.644961977186312,0.669821826280623,0.613636363636364,0.546840659340659,NA,0.712954260651629,0.63375380600261,0.644097222222222,0.551204819277109,0.584004602991945,0.72808764940239,0.649395604395604,0.573502256873205,0.649574530516432,0.75,0.748778195488722,0.742897229042441,0.983206775700935,0.945719178082192,0.747400756143667,0.570433436532508,0.641756032171582,0.606582024724357,0.600332857822159,0.744320297951583,0.748147340889276
"0110173577",0.622310129832779,0.712954260651629,0.733884044602246,0.717372475305912,0.712954260651629,0.682042025459238,0.735602593440122,0.583167676385208,0.803360293338981,0.724548332247366,0.713495972460946,0.617159817647567,0.634468134026863,0.676072018119698,0.617865996513022,0.684340288591301,0.727605179907811,0.590203549414076,0.669637428968461,0.645833035535607,0.841770001283833,0.763734620642515,0.433527327935223,0.712954260651629,NA,0.918841525300855,0.727796052631579,0.600810195669898,0.627722932186623,0.69984251873799,0.640022170811644,0.676886968909759,0.640308407462318,0.712954260651629,0.714176065162907,0.716227608656858,0.706538176633172,0.695945342809077,0.710827606587357,0.852835213032581,0.679077889092705,0.891669744022602,0.636490477263058,0.714912280701754,0.714806919762353
